time,deviceName,location,object_hAcc,object_sat
2023-01-13 10:55:05.553785281+00:00,A0013,43.2553646::-7.3447243,5,9
2023-01-13 11:10:09.018682923+00:00,A0013,43.2556655::-7.3444354,11,8
2023-01-13 11:25:18.393850573+00:00,A0013,43.2552835::-7.3445882,9,8
2023-01-13 11:41:06.450926806+00:00,A0013,43.2552982::-7.3446846,5,8
2023-01-13 11:57:22.513935742+00:00,A0013,43.255301::-7.3446929,5,9
2023-01-13 12:53:22.397856916+00:00,A0013,43.2555091::-7.3447625,10,8
2023-01-13 13:08:32.348965212+00:00,A0013,43.2553274::-7.3446421,11,8
2023-01-13 13:24:06.287568875+00:00,A0013,43.2554416::-7.344539,6,9
2023-01-13 13:39:16.869476562+00:00,A0013,43.255143::-7.3444559,13,9
2023-01-13 14:02:59.843304130+00:00,A0013,43.2552608::-7.3446584,4,8
2023-01-13 14:18:12.357940203+00:00,A0013,43.2549843::-7.3446149,9,8
2023-01-13 14:35:45.488333155+00:00,A0013,43.2549442::-7.3446902,9,8
2023-01-13 15:51:53.391167307+00:00,A0013,43.2551768::-7.3446872,5,8
2023-01-13 16:07:30.593160093+00:00,A0013,43.2550559::-7.3445132,6,10
2023-01-13 16:22:40.342411220+00:00,A0013,43.2550953::-7.3447464,16,8
2023-01-13 16:37:58.485343701+00:00,A0013,43.2548055::-7.3446645,20,8
2023-01-13 18:26:14.427134562+00:00,A0013,43.2532259::-7.3401918,16,6
2023-01-13 18:32:05.569744798+00:00,A0013,43.2522687::-7.3386635,20,8
2023-01-13 18:45:50.512856689+00:00,A0013,43.2512492::-7.3384182,17,8
2023-01-13 20:49:52.271577231+00:00,A0013,43.2511819::-7.3384584,30,5
2023-01-13 20:58:39.313746322+00:00,A0013,43.2512475::-7.3385028,19,6
2023-01-14 02:04:23.268235303+00:00,A0013,43.2512192::-7.3386956,9,5
2023-01-14 02:34:44.503342550+00:00,A0013,43.2512296::-7.3385675,7,6
